Year,Album Length(ms),Album Name,Artist,Songs Number
2007,3699448,Shock Value,Timbaland,17
2005,2662236,PCD,The Pussycat Dolls,12
2008,3246156,The Fame,Lady Gaga,15
2009,9684044,Celebration (double disc version),Madonna,37
2008,3426435,Good Girl Gone Bad: Reloaded,Rihanna,15
2002,2840704,This Is Me...Then,Jennifer Lopez,12
2004,3152287,Best Of Blue,Blue,14
2005,2500023,Back to Bedlam,James Blunt,11
2008,2621139,One Of The Boys,Katy Perry,12
2000,4336995,The Marshall Mathers LP,Eminem,18
2000,2671289,Oops!... I Did It Again,Britney Spears,12
2016,12815088,Bad Boy 20th Anniversary Box Set Edition,Various Artists,50
2000,2724022,America Town,Five For Fighting,12
2006,3210328,Shayne Ward (Expanded Edition),Shayne Ward,14
2003,4177873,Get Rich Or Die Tryin',50 Cent,19
2008,502346,Hot N Cold,Katy Perry,2
2006,3531247,Loose,Nelly Furtado,17
2008,3209572,Mail on Sunday,Flo Rida,14
2004,6927415,Greatest Hits: My Prerogative,Britney Spears,27
2005,2977156,"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,13
2001,3589848,Survivor,Destiny's Child,15
2001,1479333,Lady Marmalade,Various Artists,4
2002,3477421,One Love,Blue,15
2010,2515769,Best Of,Hoobastank,12
2003,3702396,What My Heart Wants To Say,Gareth Gates,16
2001,2757716,Camino Palmero,The Calling,11
2003,3831995,Dangerously In Love,Beyoncé,16
2001,2611622,All Rise,Blue,12
2004,2329970,Fuck It (I Don't Want You Back),Eamon,7
2004,1327798,F.U.R.B. (F U Right Back),Frankee,5
2006,2122743,Cassie (U.S. Version),Cassie,11
2005,6664940,Curtain Call: The Hits (Deluxe Edition),Eminem,24
2002,2814994,Away From The Sun,3 Doors Down,12
2004,4713220,Confessions (Expanded Edition),Usher,21
2002,3801128,Justified,Justin Timberlake,13
2000,2673795,Coyote Ugly,Various Artists,12
2007,3546661,The Hits,Faith Hill,15
2008,2501222,I AM...SASHA FIERCE,Beyoncé,11
2005,2601157,A Little More Personal (RAW),Lindsay Lohan,12
2000,4055008,Coast To Coast (Expanded Edition),Westlife,19
2003,2926250,Fallen,Evanescence,12
2009,3985408,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,15
2004,2687822,Breakaway,Kelly Clarkson,12
2009,2544449,Kiss & Tell,Selena Gomez & The Scene,13
2001,3614795,Jealous Ones Still Envy (J.O.S.E),Fat Joe,18
2003,3120462,Life For Rent,Dido,12
2005,3239966,Some Hearts,Carrie Underwood,14
2001,3014996,Escape,Enrique Iglesias,13
