Year,Album Length(ms),Album Name,Artist,Songs Number
2022,353779,Jangale Tarik,Ho3ein,1
2022,330527,Shokret,Amir Tataloo,1
2022,270466,Hale,Various Artists,1
2022,280046,Tavalod,Sijal,1
2022,188958,Fana,Arta,1
2008,197373,Ye Mosht Sarbaz,Hichkas,1
2022,341937,Ye Dafe Dige Mikham,Amir Tataloo,1
2022,260000,Extasy,Koorosh,1
2022,322333,Kaj (Acoustic Version),Mehrad Hidden,1
2019,2471544,Injaneb,Shayea,12
2022,193565,Bi Maghsad,Nassim,1
2012,3013456,Zakhar Nameh,Zedbazi,10
2018,6086826,Jahanam,Amir Tataloo,16
2015,5198750,"Bozorg, Vol. 2",Bozorg,19
2021,2582918,Zakhare Asli,Sohrab Mj,10
2017,3329229,Toonel Vol 1,Mehrad Hidden,11
2022,222720,NASA,Behzad Leito,1
2020,1331901,Takhgaaz,Behzad Leito,7
2020,1638449,Ye Wan Tony,Arta,8
2021,173629,Cocktail + Gillaass,021kid,1
2011,223282,Gorg,Ho3ein,1
2021,244062,Kari Nadare Ke,Catchybeatz,1
2020,3748217,Mojaz,Hichkas,16
2022,274652,Journalist,Saman Wilson,1
2022,261407,Jake Paul,Sepehr Khalse,1
2022,260362,After,Koorosh,1
2021,183473,Persian Gang Business,021kid,1
2022,189466,Polomp,Sohrab Mj,1
2021,307189,Fatehe,Fadaei,1
2022,739245,BEEM / بیم,Yas,1
2022,273475,Shol Kon,Behzad Leito,1
2022,227044,Be Mula,Ho3ein,1
2020,5267447,Mehrad Hidden Online Performance in Tehran (Live),Mehrad Hidden,20
2020,398367,Bache Mahal,Zedbazi,1
2021,142471,Poolini,Koorosh,1
2022,178886,Hambastegi,Sepehr Khalse,1
2018,6856598,Barzakh,Amir Tataloo,16
2020,4582017,Double Album,Alireza Jj,21
2022,254054,Khod Dargir,Shayea,1
2022,331728,Loghmeh,Masin,1
2020,333531,Mosser,Shayea,1
2019,7096170,Zedbazi,Zedbazi,24
2021,197917,Moorche,Sepehr Khalse,1
2022,384815,Behesht,Amir Tataloo,1
2022,347207,Deli,Shayea,1
2022,144489,Intro (Amade Bash),Shayea,1
2022,178758,VEDA,021kid,1
2022,2528660,Amadeus,Alireza Jj,11
2021,231314,Ashk,Behzad Leito,1
2019,13626133,78,Amir Tataloo,25
2022,215120,From The D 2 The LBC (with Snoop Dogg),Eminem,1
2020,168672,Tigh,poobon,1
2021,1203738,Asabani,Shayea,5
2022,2432996,Sigma,Shahin Najafi,8
2021,4303075,Fereshte,Amir Tataloo,12
2020,200503,Tool Mishe Type,Behzad Leito,1
2022,161666,Toofani,021kid,1
2020,4269453,"Toonel, Vol. 2",Mehrad Hidden,14
2020,235154,12 Be Bad,Ho3ein,1
2013,196794,Sob Zohr Shab,Ho3ein,1
2017,272727,Khafan,Ho3ein,1
2016,3990292,Ghahreman,Amir Tataloo,16
2020,208920,Holesh,Tohi,1
2020,357081,Rock A Chock,Mehrad Hidden,1
2022,440000,Boht,Amir Tataloo,1
2014,4865108,"Erfan Singles, Vol. 1",Erfan,18
2020,3816073,Sheytan,Amir Tataloo,8
2018,2242347,Sayeh,Amir Tataloo,9
2018,269739,Ajayeb Shahr,Hamid Sefat,1
2021,212999,Qabil,Reza Pishro,1
2019,180048,Gangesh Balas,Sohrab Mj,1
2021,231357,Q69,Ho3ein,1
2021,165787,Yakuza,Sepehr Khalse,1
2014,2677520,Pir Shodim Vali Bozorg Na,Alireza Jj,9
2016,4240055,"Pir Shodim Vali Bozorg Na, Vol. 2",Alireza Jj,16
2021,618500,Alavis,Mehrad Hidden,2
2012,3759962,Tatality,Amir Tataloo,16
