Track Number,Track,Artist,URI
1,After,Behzad Leito,spotify:track:4Yek8W0DzJeRLDd1d0hHQi
2,Tavalod,Behzad Leito,spotify:track:3XmS0SRDdnszbY5Rjk3eua
3,Shol Kon,Behzad Leito,spotify:track:3C0s9QOAKOU6lUCh7nCVUT
4,Dadim Raft Toro,Behzad Leito,spotify:track:31ivzjw5stZ3hrsrJjfuab
5,Oomadam Too Shahr,Behzad Leito,spotify:track:54m73M5ubIsGKtDHPe734h
6,Microphonam Remake,Behzad Leito,spotify:track:5p4kiC9UWPNDTU1GW16dmS
7,NASA,Behzad Leito,spotify:track:6iwPMJ5t1HGfX900maILqD
8,Tool Mishe Type,Behzad Leito,spotify:track:0JZt19OBFO06oc7J5OFEyy
9,Messe Avalash,Behzad Leito,spotify:track:01fzT3hmmjXc7dQikBEknk
10,12 Saal Pish,Behzad Leito,spotify:track:2h46C75TPEKaRHrvbE74ES
11,Hezar,Mehrad Hidden,spotify:track:2k934yYJMwiHQAS6cdr33n
12,Kaj,Mehrad Hidden,spotify:track:1RpqYr8xVD7bVJHxeuIZah
13,Bill,Mehrad Hidden,spotify:track:0NhFOgfrJPpfhCoACT4MrZ
14,Rock A Chock,Mehrad Hidden,spotify:track:0lsZt7u0pys6KanpJmAzcs
15,Raftam Too Delesh,Mehrad Hidden,spotify:track:5YgNjI0w0G4VyOcA0LNuI2
16,Seyl,Mehrad Hidden,spotify:track:7b3kspTmqpX7zjrVvRGRu4
17,Cheap,Mehrad Hidden,spotify:track:3BYA1zb1XZ4ljQa6h7mVQQ
18,Aroos,Mehrad Hidden,spotify:track:1xIudE3RAg7ElM6VpehIPd
19,Bitab,Mehrad Hidden,spotify:track:1IiwHv9OUJQkHqplabQAv9
20,Psycho Salam,Mehrad Hidden,spotify:track:4e96dYvM1y1f4kTA5VYOxX
21,Shokret,Amir Tataloo,spotify:track:2MHNdG3jS1MLF9zbMoOMbc
22,Behesht,Amir Tataloo,spotify:track:0pOvrPSjy1WHNmuic5SLhH
23,Baby Oonam Dooste Mane,Amir Tataloo,spotify:track:0HLQRljaGjU5oZVyt0EiCA
24,Gorg,Amir Tataloo,spotify:track:44avXySYWskHuq99lkF3dw
25,Man Bahat Ghahram,Amir Tataloo,spotify:track:0aGEChV1ooitWhU9e9CdY1
26,Ye Dafe Dige Mikham,Amir Tataloo,spotify:track:3j2u7nV3LXXyhzzT9KYVzb
27,Boht,Amir Tataloo,spotify:track:62y46lAyoKKHCbMWBX522z
28,To Bezar Boro Mano,Amir Tataloo,spotify:track:7MblCBydj7NhDZ3HPpdSVI
29,Hagh,Amir Tataloo,spotify:track:5dT9DuHXP3TCNU2ykHlGaU
30,Merci Amir Tataloo,Amir Tataloo,spotify:track:79yjXrIiyoX3gBJZ72QXXO
31,Fana,Sepehr Khalse,spotify:track:5pssOw6VltJ1AZJH5rfOYx
32,Berim Baham,Sepehr Khalse,spotify:track:5y3FM8OQ6kEbULBRM6OCCs
33,Fresh,Sepehr Khalse,spotify:track:6hW5K6bydUIV8EK88UCYLE
34,Shol Kon,Sepehr Khalse,spotify:track:3C0s9QOAKOU6lUCh7nCVUT
35,Boodi Yaram,Sepehr Khalse,spotify:track:1aFllLRJyLxIriyOL2g8Ww
36,Yakuza,Sepehr Khalse,spotify:track:1jIrQAzc6xwzw3Id6bQySk
37,Saal Be Saal,Sepehr Khalse,spotify:track:4qfRaZmjR0lT7N63RY1cSg
38,Moorche,Sepehr Khalse,spotify:track:5K0WocQCHiZuwwGG9Cwgdg
39,Jake Paul,Sepehr Khalse,spotify:track:5tnQSNGSpjndloVlvX044A
40,Ghalbe Banafsh,Sepehr Khalse,spotify:track:74BCEuxc3dOxknpZo1wX4n
41,Fana,Koorosh,spotify:track:5pssOw6VltJ1AZJH5rfOYx
42,Extasy,Koorosh,spotify:track:5B0etJzKR8SVBS5AeT0dP8
43,Saaghi,Koorosh,spotify:track:1nQIQgTjYy8YmLycamwrUf
44,After,Koorosh,spotify:track:4Yek8W0DzJeRLDd1d0hHQi
45,Hayahoo - Acoustic,Koorosh,spotify:track:6wX3aeg2vMBAFB0ubaraLb
46,Yebaram Man,Koorosh,spotify:track:0q0f5te0CkEfuql22T9EkV
47,Bemoon Ba Man,Koorosh,spotify:track:0T8J9sbbXBhu8Hli3xN43c
48,Azin Manzare,Koorosh,spotify:track:73YPj3MR5SOqHCSR9Kd5m1
49,Behesh Begid,Koorosh,spotify:track:7aFBkEkyNVO03D2co5pEiq
50,Un Momento,Koorosh,spotify:track:0WEXLD199dgGgc0R0m7Nds
51,Extasy,Sijal,spotify:track:7yYsg785skDUBi5s3ppBcv
52,Berim Baham,Sijal,spotify:track:5y3FM8OQ6kEbULBRM6OCCs
53,Fresh,Sijal,spotify:track:6hW5K6bydUIV8EK88UCYLE
54,Shol Kon,Sijal,spotify:track:3C0s9QOAKOU6lUCh7nCVUT
55,Oomadam Too Shahr,Sijal,spotify:track:54m73M5ubIsGKtDHPe734h
56,2 Saal,Sijal,spotify:track:3Sn261HsKEFyvy7LwZIRaZ
57,Boodi Yaram,Sijal,spotify:track:1aFllLRJyLxIriyOL2g8Ww
58,Saal Be Saal,Sijal,spotify:track:4qfRaZmjR0lT7N63RY1cSg
59,Tavalod,Sijal,spotify:track:0RNFtu0WtyhMksGnnCWGNJ
60,Fogholade,Sijal,spotify:track:2YwxjoiuqY2LaAwJeFgFhE
61,Tamally Maak,Amr Diab,spotify:track:6TYFcqqQVQPb3YsgfRhvqs
62,Nour El Ein,Amr Diab,spotify:track:3ZTuYuaV1fhdNnuIBuzTYy
63,Bayen Habeit,Amr Diab,spotify:track:29KS7kBSU77PrYGB6RVR5O
64,El Alem Allah,Amr Diab,spotify:track:0iHyLzEeCcu19aEC2M3o5M
65,Amarain,Amr Diab,spotify:track:0WcFWvjYOAEFJn1LuvqX7F
66,Khalek Fakerny,Amr Diab,spotify:track:7DYa99MDxGMIFouOh8bHdi
67,Qusad Einy,Amr Diab,spotify:track:3bISYorQwMHFlDaAhNyWd8
68,Lealy Nahary,Amr Diab,spotify:track:1F4llVlAB6yfumGxPXBOxc
69,Wala Ala Balo,Amr Diab,spotify:track:3Myno7mzYuIaNrOGPlIheQ
70,We Lesa Bethebo,Amr Diab,spotify:track:7LRCNmATjS81c87NCNFyqy
71,Berim Baham,Alireza Jj,spotify:track:5y3FM8OQ6kEbULBRM6OCCs
72,Ghesmate Man,Alireza Jj,spotify:track:22YNgSjuxdbHYY6qjIdhxK
73,Boodi Yaram,Alireza Jj,spotify:track:1aFllLRJyLxIriyOL2g8Ww
74,Saal Be Saal,Alireza Jj,spotify:track:4qfRaZmjR0lT7N63RY1cSg
75,Balance,Alireza Jj,spotify:track:3iF8i6BaA8PqgzeiA5UXcg
76,Tavalod,Alireza Jj,spotify:track:0RNFtu0WtyhMksGnnCWGNJ
77,Gang Beraghse,Alireza Jj,spotify:track:62ahB3SOB3fjoWnQGvn0sP
78,Shabe Tavalod,Alireza Jj,spotify:track:6JC1Mpw7ws2OGvrqSQNBwy
79,Pesare Bad,Alireza Jj,spotify:track:6oVehsw1WqwQzjG9dZKpma
80,Bobby,Alireza Jj,spotify:track:6S6THeGrNDbFHYstdr7aEn
81,Nasakhe Noskhe,Hiphopologist,spotify:track:0sfvjt6IqgMLRIPpw1R4Zf
82,Nabz,Hiphopologist,spotify:track:4g2ptqGnnzVU9E743Q3r1H
83,GHORS,Hiphopologist,spotify:track:0aOWGmbULWpm9d9GEj6Mvw
84,Cardi,Hiphopologist,spotify:track:6GaDgKXly2CkhWaa0T0SHe
85,AZHIR,Hiphopologist,spotify:track:6Gg5el6xDJ35g0lvdKQluH
86,5AM,Hiphopologist,spotify:track:5d6FWZHrYVF4oB8tYx8x8o
87,Mashallah,Hiphopologist,spotify:track:0gdlI8jdnkNp0DN16FOeFj
88,Jahadi,Hiphopologist,spotify:track:1OGlUauRd7QpuAY0JX6K2g
89,Mario Puzo,Hiphopologist,spotify:track:2O6AxqfsrPel2r7uywGKTK
90,Rose,Hiphopologist,spotify:track:7GxEbO1ohNr6iaxGdLLx0k
91,Nasakhe Noskhe,Ashkan Kagan,spotify:track:0sfvjt6IqgMLRIPpw1R4Zf
92,Nabz,Ashkan Kagan,spotify:track:4g2ptqGnnzVU9E743Q3r1H
93,GHORS,Ashkan Kagan,spotify:track:0aOWGmbULWpm9d9GEj6Mvw
94,Cardi,Ashkan Kagan,spotify:track:6GaDgKXly2CkhWaa0T0SHe
95,AZHIR,Ashkan Kagan,spotify:track:6Gg5el6xDJ35g0lvdKQluH
96,5AM,Ashkan Kagan,spotify:track:5d6FWZHrYVF4oB8tYx8x8o
97,Jahadi,Ashkan Kagan,spotify:track:1OGlUauRd7QpuAY0JX6K2g
98,Mario Puzo,Ashkan Kagan,spotify:track:2O6AxqfsrPel2r7uywGKTK
99,Rose,Ashkan Kagan,spotify:track:7GxEbO1ohNr6iaxGdLLx0k
100,Nabayad,Ashkan Kagan,spotify:track:0TJFp1Kv29TJN2r7raUWmw
101,Tavalod,Sohrab Mj,spotify:track:3XmS0SRDdnszbY5Rjk3eua
102,12 Be Bad,Sohrab Mj,spotify:track:7cOTzO1Zxan0BHd1Hs8rIN
103,Gangesh Balas,Sohrab Mj,spotify:track:5yM6TlXdb2CUIAMoEJs9o3
104,Polomp,Sohrab Mj,spotify:track:4yEjoykC0sfd4sPjrY7GeN
105,Jens Joore,Sohrab Mj,spotify:track:5Cw3Y5v01RjImnB18TtqDy
106,Ye Roozi,Sohrab Mj,spotify:track:5n4Oh433S0Pg2kcAgUbuUJ
107,Haabil,Sohrab Mj,spotify:track:6OFPp7ywNpwXERBXoHpbQZ
108,Az Tehran Motenaferan,Sohrab Mj,spotify:track:01sYzzvXqM5smBNsyjy6hY
109,Beynol,Sohrab Mj,spotify:track:25bGKyi2Ngk583FFrKeNNE
110,Nardeboon,Sohrab Mj,spotify:track:7wXIFqsDyWdgTtqY3UKHY6
111,Fana,Arta,spotify:track:5pssOw6VltJ1AZJH5rfOYx
112,After,Arta,spotify:track:4Yek8W0DzJeRLDd1d0hHQi
113,Erade Kon,Arta,spotify:track:5LNVfoPzZLqZtrhybWcb6F
114,Bemoon Ba Man,Arta,spotify:track:0T8J9sbbXBhu8Hli3xN43c
115,Messe Avalash,Arta,spotify:track:01fzT3hmmjXc7dQikBEknk
116,Khaterate Bad,Arta,spotify:track:77O1ybRLidgtecTv7HPhUr
117,Hanooz Yadame,Arta,spotify:track:0NqTJDvYWR2So0eLDfuMNT
118,Residam Be Tash,Arta,spotify:track:1ywiMex9UmuuypFzKRDO9p
119,Cheshm Beham Bezani,Arta,spotify:track:4E7C5YLtoowjoDHAxXjtTD
120,Nanaal,Arta,spotify:track:5xkquVbt9OD8xFZdUJciig
121,Why Did You Leave Me? - 5ha5hu Remix,Homayoun Shajarian,spotify:track:0lrmKZI12EgnbjB2lolJ5F
122,Yek Nafas Arezouye To,Homayoun Shajarian,spotify:track:0AXPC0pORtCqphiHJEsK6v
123,Che Danestam - Seventh Soul Remix,Homayoun Shajarian,spotify:track:5TteGvnDqhsp5aJhbASQ1S
124,Ahay Khabardar,Homayoun Shajarian,spotify:track:3mgNGRFuQ800H1WxfKCIeh
125,Asemane Abri,Homayoun Shajarian,spotify:track:2jLYDj4XVT47kb5lrrvalU
