Year,Album Length(ms),Album Name,Artist,Songs Number
2022,185785,Never Sleep,NAV,1
2022,216013,Us vs. Them (feat. Gucci Mane),Quavo,1
2022,3152558,"Honestly, Nevermind",Drake,14
2022,1701625,RED & WHITE,Lil Uzi Vert,9
2022,5011503,7220 (Deluxe),Lil Durk,31
2022,171319,Distraction,Polo G,1
2022,142657,HOTEL LOBBY (Unc & Phew),Quavo,1
2022,177731,Step 1,SleazyWorld Go,1
2022,3932817,I NEVER LIKED YOU,Future,22
2022,192137,I KNOW,Lil Uzi Vert,1
2022,228922,Dissin the Dead,Gucci Mane,1
2022,173419,Vette Motors,YoungBoy Never Broke Again,1
2022,518212,The Big 3,Roddy Ricch,3
2022,146732,See Wat I’m Sayin,Moneybagg Yo,1
2022,161355,Sleazy Flow (Remix),SleazyWorld Go,1
2022,238333,Hall of Fame,Young Dolph,1
2022,213975,Right On,Lil Baby,1
2022,97392,Doja,Central Cee,1
2022,231085,"Steppers (with Yo Gotti, Moneybagg Yo, 42 Dugg feat. EST Gee, Mozzy, Blac Youngsta, CMG The Label)",Yo Gotti,1
2022,200470,In A Minute,Lil Baby,1
2022,180705,Stone Rolling,Rod Wave,1
2022,4725266,Mr. Morale & The Big Steppers,Kendrick Lamar,19
2022,211649,Hot Shit (feat. Ye & Lil Durk),Cardi B,1
2022,137579,F.N.F. (Let's Go),Hitkidd,1
2022,173061,Pressurelicious (feat. Future),Megan Thee Stallion,1
2022,4567059,Gangsta Art,Yo Gotti,27
2022,130897,Paris to Tokyo,Fivio Foreign,1
2022,235500,U-Digg (feat. 42 Dugg & Veeze),Lil Baby,1
2022,2704559,Come Home The Kids Miss You,Jack Harlow,15
2022,185857,Cooped Up,Post Malone,1
2022,148571,True Love,Kanye West,1
2022,148816,Die Young (feat. 347aidan),Sleepy Hallow,1
2022,2747893,Rebel vs. Rowdy,Rowdy Rebel,17
2022,173987,Save Me,Southside,1
2022,171826,Do What I Want,Kid Cudi,1
2022,2464187,"You Still Here, Ho ?",Flo Milli,17
2022,237904,Mrs. Davis,Gucci Mane,1
2022,143325,We Not Humping (Remix),Monaleo,1
2022,184614,She Want Some More (Feat. Ken Carson & Lil Tecca),Internet Money,1
2022,3563490,Khaza,Kevin Gates,19
2022,216135,Cash In Cash Out,Pharrell Williams,1
2019,2045065,DIE FOR MY BITCH,Baby Keem,14
2022,99282,BILLIE EILISH.,Armani White,1
2022,118466,Bad Ass Bitches,Wiz Khalifa,1
