Track Number,Track,Artist,URI
1,Deixa (feat. Ana Gabriela),Lagum,3fLqmaO4vvZpFZSZy52VMp
2,"My Life Is Going On / La Casa de Papel - Alok, JetLag Music, HOT-Q e WADD Remix",Alok,5ZEQjTroORCu6uWvZrdeNc
3,Apples and Bananas,The Wiggles,249RDVo4YJOdqlKx2jHSe4
4,Ain't Worried,Bruno Martini,4h9wh7iOZ0GGn8QVp4RAOB
5,Coming Home,Quintino,65GbQI9VDTs7vo6MJL2iJA
6,Levitating,Kidz Bop Kids,5nujrmhLynf4yMoMtj8AQF
7,Me Negaram Amor,Cynthia Luz,4oH03lpFiysmcWex1AyddD
8,Itsy Bitsy Spider,Toddler Songs Kids,1oMUYmXy85ZOQGZ2fylBiN
9,Turn Up,Marc Benjamin,7u0b4DthVvd2F2EzCiOx0Z
10,Pontos de Exclamação - Vintage Culture & Future Class Remix,Jovem Dionisio,25usEf5iGk9HL0LM9VTxue
11,Memories,Eden Prince,4cktbXiXOapiLBMprHFErI
12,Octopus's Garden,Raffi,0suLngfo7rJoetk7Ub6N8l
13,Twinkle Twinkle Little Star,Super Simple Songs,147gCksvDRmjG1pO51ZCcf
14,Fire,James Carter,3DamFFqW32WihKkTVlwTYQ
15,I Want You,Sick Individuals,5LxvwujISqiB8vpRYv887S
16,In Time,KVSH,2lvJGpLN6D1y6HzX7lSOpK
17,Light Years Away,Pontifexx,4yfkRG3nbDHKAgYXZp87jl
18,Nunca Vai Mudar - RUSHÖ & Carola Remix,Samantha Machado,39HSF1vuo52GS3899DoCPx
19,Flores,Vitão,6Xn6iPYmezXFwRKQZc35f4
20,Wash Your Hands with Baby Shark,Pinkfong,5hf6QzXXpaJOzS7UHMXCXQ
