Year,Album Length(ms),Album Name,Artist,Songs Number
2019,176546,ily (i love you baby) (feat. Emilee),Surf Mesa,1
2021,202735,Cold Heart (PNAU Remix),Elton John,1
2021,148197,Where Are You Now,Lost Frequencies,1
2022,175169,Easy On Me,Cookie Crumble,1
2022,171954,Stay the Night,Sigala,1
2021,150000,I Don't Wanna Know,Sorvats Nivek,1
2019,157605,Ride It,Regard,1
2022,165752,Deep Down (feat. Never Dull),Alok,1
2022,167214,We Are Good,James Stefano,1
2022,139494,It Wasn't Me,BLANDOS,1
2022,179428,Bloom,Lucas Estrada,1
2022,161458,Young Folks,John Skyfield,1
2022,182419,Better Day,Oliver Nelson,1
2022,156629,Comfort Zone,Gascar,1
2022,220000,Crazy,PLÜM,1
2022,164869,September,Mecdoux,1
2022,184888,5th Avenue,Trinix,1
2022,148500,Black & Blue,HUGEL,1
2022,3567591,BALANCE,Kenn Colt,21
2022,159421,Secrets,Jonas Eb,1
2022,147818,Samba,YouNotUs,1
2017,735765,Love Tonight,Shouse,2
2022,165666,Lose You,Rawdolff,1
2022,169698,Brighter Day,RAVENS,1
2022,112616,Ferrari,Gill Baits,1
2021,153800,Hold On,RAVENS,1
2022,138010,Insomnia,Thierry Von Der Warth,1
2022,138963,Called Home,Clay Pirinha,1
2022,156046,Piece Of Your Heart,BLANDOS,1
2022,171434,Take Me Back,Ole Eb,1
2022,142698,Peru,Lenji,1
2020,166779,Sun Goes Down,Kenn Colt,1
2022,140015,Forever,Gill Baits,1
2021,155206,Outta Control,Thierry Von Der Warth,1
2022,161803,I Love Your Smile (Radio Edit),W.D.C,1
2022,164395,Runaway,DDDISKO,1
2022,148888,Oh What A Night,Mecdoux,1
2022,396000,You Gotta Be,Tommy Mc,2
2022,182352,Cold Nights,LZRD,1
2022,110984,Don't Speak,TIVON,1
2022,147540,Let You Down,Desno,1
2022,150005,Numb,Justin Stanley,1
2022,149035,Disturbia,Lenji,1
2022,144013,Habits (Stay High),The Aerodynamikz,1
2017,635375,Because You Move Me,Tinlicker,2
2022,184918,You Wanna Be,Alphadogs,1
2022,629608,Won't Forget You,Shouse,2
2014,512100,Prayer in C,Lilly Wood and The Prick,2
2022,151500,Running Up That Hill,Trinix Remix,1
2022,179109,Save Myself,Ali Bakgor,1
2021,125724,Shivers,TIVON,1
2022,127734,Light Up The Night,Stavros Martina,1
2022,177634,So Sick,Jubël,1
2022,148005,Borderline,TIVON,1
2022,141931,Rain In Ibiza,Felix Jaehn,1
2022,131151,All Night Long,Strange Behavior,1
2022,168097,Out Of My Head,Laurentius,1
2022,144846,Breaking Me,Cherry Zard,1
2018,164009,Dancing in the Moonlight (feat. NEIMY),Jubël,1
2021,132111,How Will I Know,Justin Stanley,1
2022,126545,Sweet Dreams,Mecdoux,1
2022,156855,Polaroid,Late June,1
2021,134644,Head & Heart,Gill Baits,1
2022,157949,A Little Longer,Colin Crooks,1
2022,139164,Stand By Me,Virtual Friends,1
2016,3091116,Less Is More,Lost Frequencies,16
2022,141904,Half As Much,Deerock,1
2022,164761,Love Me Again,Ellyphant,1
2022,179478,Wake Me Up,Mecdoux,1
2022,375967,Easy,Nicky Romero,2
2022,154702,Another Love,Virtual Friends,1
2022,141801,Emiliana,Lenji,1
2022,159600,Love You More (feat. Josh Bogert),Marco Nobel,1
2022,132500,YOU,Phil The Beat,1
2021,110970,Tom's Diner,Sorvats Nivek,1
2022,510756,Wonderful Life,Block & Crown,2
2022,152375,abcdefu,BLANDOS,1
2021,160416,Once in a Lifetime Groove,Thierry Von Der Warth,1
2022,123289,I'm a Flirt,Sorvats Nivek,1
2022,135250,Cold Water,Scotch Butter,1
2022,181963,Crush,Kelvin Wood,1
2022,134979,Out Out,Strange Behavior,1
2021,123495,What's Love Got To Do With It,Sorvats Nivek,1
2022,156750,Infinity,Cookie Crumble,1
2021,154010,BED,Justin Stanley,1
2022,128709,Chivalry Is Dead,Luis De Santi,1
2021,130470,Mirror On The Wall,Sorvats Nivek,1
2022,142341,Ghost,TIVON,1
2022,170302,Sweet Harmony,Chaël,1
2022,144451,My Pony,Cookie Crumble,1
2022,198706,Hungry For You (Radio Edit),MNTLL,1
2022,531570,All Night to the Sun,Laurent Simeca,2
2022,131015,Am I Wrong,Justin Stanley,1
2021,379838,For You,Max Vermeulen,2
2022,1002650,LIFT,Du0,5
2022,2859787,Golden Years,Clay Pirinha,15
2022,129697,Like I Do,The Aerodynamikz,1
2022,192360,Criss Cross,Shab,1
2021,153695,Fast Car,BLANDOS,1
2022,139047,Let Me Down Slowly (feat. J R),Brøder,1
